,0,category_code
largo,7695,1320
poussette,10885,1320
combinée,3247,1320
parasol,9975,1320
auto,1254,1320
canne,2397,1320
accessoires,69,1320
cosmique,3625,1320
créme,3893,1320
set,12560,1320
adaptateurs,177,1320
habillage,6525,1320
pluie,10561,1320
moustiquaire,8997,1320
roues,11975,1320
pivotantes,10426,1320
air,340,1320
ect,4875,1320
equipement,5212,1320
conforme,3408,1320
normes,9446,1320
européennes,5348,1320
sécurité,13448,1320
ssis,13051,1320
solide,12858,1320
guidon,6472,1320
réglable,12115,1320
frein,5977,1320
replier,11728,1320
encombrant,5015,1320
panier,9929,1320
capacité,2415,1320
charge,2706,1320
élevée,15206,1320
pneumatique,10573,1320
bloque,1880,1320
roulements,11991,1320
billes,1762,1320
arriére,947,1320
nacelle,9194,1320
couvre,3790,1320
jambes,7340,1320
dossier,4441,1320
rockingchair,11903,1320
utilisable,14393,1320
dés,4745,1320
naissance,9210,1320
position,10805,1320
allongée,472,1320
étre,15337,1320
clipser,3012,1320
face,5491,1320
parents,9987,1320
route,12000,1320
amovible,555,1320
fond,5846,1320
rigide,11865,1320
intérieure,7246,1320
lavable,7723,1320
capote,2421,1320
couffin,3696,1320
groupe,6452,1320
norme,9444,1320
européenne,5340,1320
assise,1129,1320
poignée,10618,1320
positions,10814,1320
harnais,6576,1320
autocosy,1265,1320
tissus,13830,1320
main,8239,1320
livré,7986,1320
réducteur,12076,1320
isofix,7305,1320
supplément,13327,1320
possible,10823,1320
regardez,11595,1320
boutique,2035,1320
priceminister,10961,1320
fixation,5723,1320
siége,12746,1320
ceinture,2565,1320
véhicule,14783,1320
meilleure,8558,1320
stabilité,13056,1320
évite,15372,1320
déplacement,4719,1320
choc,2852,1320
sport,13008,1320
réglage,12124,1320
différentes,4224,1320
repose,11734,1320
différents,4225,1320
couché,3689,1320
large,7688,1320
protéger,11124,1320
bébé,2220,1320
intempéries,7169,1320
sac,12230,1320
langer,7650,1320
poids,10590,1320
matériel,8485,1320
intérieur,7245,1320
coton,3643,1320
extérieur,5460,1320
polyester,10657,1320
cible,2894,1320
unisex,14285,1320
mécanisme,9148,1320
pliage,10531,1320
pliant,10535,1320
intérieures,7247,1320
incl,6949,1320
hottecapote,6721,1320
fractionné,5941,1320
inclinables,6952,1320
horizontal,6714,1320
reposepied,11736,1320
surface,13353,1320
couchage,3675,1320
horizontale,6715,1320
reposepieds,11737,1320
mis,8759,1320
repliée,11730,1320
diamétre,4188,1320
nombre,9410,1320
places,10443,1320
unité,14293,1320
siégewood,12750,1320
puzzle,11287,1320
lion,7919,1320
cessi,2635,1320
rehausseur,11607,1320
disney,4302,1320
fabrication,5474,1320
étoiles,15327,1320
test,13687,1320
tcs,13588,1320
personnages,10248,1320
protections,11113,1320
latérales,7715,1320
mycarsit,9140,1320
mickeycoffre,8632,1320
jouet,7427,1320
osiertigex,9806,1320
bavoir,1610,1320
enfilermeme,5087,1320
georgette,6195,1320
purée,11282,1320
pomme,10711,1320
abricot,24,1320
bio,1766,1320
biohousse,1770,1320
coussin,3756,1320
allaitement,443,1320
formfixmode,5896,1320
féminine,6081,1320
caméra,2370,1320
bandouli,1535,1320
cuir,3914,1320
sacs,12251,1320
chain,2642,1320
étranges,15336,1320
mode,8803,1320
similicuir,12683,1320
exécution,5467,1320
design,4118,1320
montrer,8904,1320
tempérament,13640,1320
conception,3366,1320
humanisée,6751,1320
changer,2680,1320
sentir,12525,1320
libre,7839,1320
approprié,837,1320
mariage,8360,1320
bal,1466,1320
décontracté,4616,1320
port,10746,1320
quotidien,11380,1320
voyage,14752,1320
occasion,9575,1320
bureau,2199,1320
cadeau,2306,1320
famille,5538,1320
pack,9877,1320
toutes,13940,1320
randonnées,11434,1320
essentials,5276,1320
sexe,12578,1320
hommes,6698,1320
femmes,5611,1320
godet,6299,1320
fermé,5634,1320
moraillon,8923,1320
tendance,13647,1320
école,15136,1320
solides,12859,1320
applicables,809,1320
loisirs,8017,1320
banquet,1543,1320
sports,13015,1320
affaires,255,1320
contenu,3513,1320
odeur,9598,1320
normalement,9435,1320
dispersé,4313,1320
note,9454,1320
mesurées,8607,1320
écarts,15106,1320
moniteurs,8868,1320
image,6874,1320
réelle,12087,1320
articlejouets,1016,1320
chenille,2774,1320
articulée,1085,1320
tirernoeud,13818,1320
coloré,3220,1320
tressé,14061,1320
décoratif,4620,1320
parechocs,9979,1320
berceau,1702,1320
literie,7941,1320
noeud,9392,1320
oreiller,9743,1320
décorative,4626,1320
crib,3845,1320
unisexe,14286,1320
décoration,4622,1320
chambre,2658,1320
noué,9495,1320
matériau,8483,1320
remplissage,11676,1320
mati,8453,1320
convient,3562,1320
enfants,5067,1320
long,8028,1320
tricoté,14077,1320
éclairera,15127,1320
décor,4619,1320
cousu,3766,1320
farcie,5558,1320
nouée,9496,1320
matériaux,8484,1320
viennent,14620,1320
pastel,10081,1320
faits,5531,1320
individuellement,7010,1320
permettent,10235,1320
lég,8150,1320
variations,14471,1320
nature,9248,1320
toucher,13916,1320
pourrait,10869,1320
param,9973,1320
tres,14057,1320
moniteur,8865,1320
ordinateur,9739,1320
méthode,9186,1320
écart,15105,1320
compréhension,3342,1320
forfait,5876,1320
oreillerbavoir,9744,1320
tendresse,13654,1320
lapin,7671,1320
tartine,13559,1320
chocolat,2853,1320
maximum,8520,1320
douceur,4469,1320
compléter,3307,1320
lignes,7870,1320
intemporelles,7168,1320
iconique,6833,1320
maison,8265,1320
accompagnera,90,1320
premi,10925,1320
nuits,9517,1320
univers,14329,1320
détails,4775,1320
délicats,4690,1320
luxueux,8136,1320
ornent,9794,1320
ligne,7868,1320
plis,10546,1320
religieux,11635,1320
broderies,2127,1320
pois,10633,1320
tissu,13828,1320
piqué,10405,1320
tendre,13652,1320
bonnet,1953,1320
techniques,13602,1320
popeline,10735,1320
informations,7039,1320
complémentaires,3305,1320
lavage,7734,1320
cycle,3959,1320
normal,9430,1320
tendressez,13656,1320
llner,7996,1320
schlafsack,12387,1320
applikation,813,1320
sternchen,13122,1320
blau,1829,1320
blaufemmes,1833,1320
cha,2640,1320
tissé,13831,1320
bucket,2172,1320
plage,10453,1320
seau,12439,1320
paille,9895,1320
dos,4429,1320
casual,2537,1320
fermeture,5628,1320
zipper,15079,1320
article,962,1320
relanges,11616,1320
mousseline,8993,1320
pacific,9874,1320
paradise,9969,1320
adenanais,207,1320
musy,9136,1320
lange,7649,1320
réconforter,12071,1320
langes,7656,1320
aden,205,1320
anais,589,1320
doublé,4463,1320
mesurant,8603,1320
inédit,7268,1320
élasticité,15190,1320
respirante,11775,1320
générations,6509,1320
pris,10992,1320
soin,12845,1320
utilisant,14395,1320
naturelle,9253,1320
contribue,3538,1320
